2,Auburn,Tigers
3,Birmingham-Southern,Panthers
5,UAB,Blazers
6,South Alabama,Jaguars
8,Arkansas,Razorbacks
9,Arizona State,Sun Devils
11,Colorado Mesa,Mavericks
12,Arizona,Wildcats
13,Cal Poly,Mustangs
15,Anna Maria College,Amcats
16,Sacramento State,Hornets
17,Claremont,Stags
18,Bridgewater State,Bears
21,San Diego State,Aztecs
23,San José State,Spartans
24,Stanford,Cardinal
25,California,Golden Bears
26,UCLA,Bruins
29,Redlands,Bulldogs
30,USC,Trojans
32,Carroll (WI),Pioneers
33,Colby,White Mules
36,Colorado State,Rams
38,Colorado,Buffaloes
40,Curry,Colonels
41,Connecticut,Huskies
43,Yale,Bulldogs
46,Georgetown,Hoyas
47,Howard,Bison
48,Delaware,Blue Hens
49,Dubuque,Spartans
50,Florida A&M,Rattlers
52,Florida State,Seminoles
53,Florida Tech,Panthers
55,Jacksonville State,Gamecocks
56,Stetson,Hatters
57,Florida,Gators
58,South Florida,Bulls
59,Georgia Tech,Yellow Jackets
60,Morehouse,Tigers
61,Georgia,Bulldogs
62,Hawai'i,Rainbow Warriors
63,Buena Vista,Beavers
65,Grinnell,Pioneers
66,Iowa State,Cyclones
67,Luther,Norse
68,Boise State,Broncos
70,Idaho,Vandals
72,Elmhurst,Blue Jays
74,Millikin,Big Blue
75,North Park,Vikings
77,Northwestern,Wildcats
79,Southern Illinois,Salukis
80,Chicago,Maroons
81,Springfield,Pride
83,DePauw,Tigers
84,Indiana,Hoosiers
86,Rose-Hulman,Engineers
87,Notre Dame,Fighting Irish
90,Pittsburg State,Gorillas
93,Murray State,Racers
95,Pikeville,Bears
96,Kentucky,Wildcats
97,Louisville,Cardinals
98,Western Kentucky,Hilltoppers
89,Wabash College,Little Giants
99,LSU,Tigers
101,Eureka College,Red Devils
103,Boston College,Eagles
107,Holy Cross,Crusaders
108,Harvard,Crimson
109,MIT,Engineers
110,Mass Maritime,Buccaneers
112,Tufts,Jumbos
113,UMass,Minutemen
114,Fitchburg State,Falcons
118,Johns Hopkins,Blue Jays
119,Towson,Tigers
120,Maryland,Terrapins
124,Augsburg,Auggies
125,Grand Valley State,Lakers
126,Kalamazoo,Hornets
127,Michigan State,Spartans
128,Northern Michigan,Wildcats
129,Saginaw Valley,Cardinals
130,Michigan,Wolverines
131,Wayne State (MI),Warriors
132,Bemidji State,Beavers
133,St. Olaf College,Oles
134,Minnesota-Duluth,Bulldogs
135,Minnesota,Golden Gophers
137,Missouri Western,Griffons
138,Northwest Missouri State,Bearcats
142,Missouri,Tigers
143,Washington (MO),Bears
145,Ole Miss,Rebels
146,Grove City College,Wolverines
147,Montana State,Bobcats
149,Montana,Grizzlies
150,Duke,Blue Devils
151,East Carolina,Pirates
152,NC State,Wolfpack
153,North Carolina,Tar Heels
154,Wake Forest,Demon Deacons
155,North Dakota,Fighting Hawks
158,Nebraska,Cornhuskers
159,Dartmouth,Big Green
160,New Hampshire,Wildcats
162,Hamline,Fighting Pipers
163,Princeton,Tigers
164,Rutgers,Scarlet Knights
166,New Mexico State,Aggies
167,New Mexico,Lobos
171,Columbia,Lions
172,Cornell,Big Red
173,Hartwick,Hawks
174,Hobart,Statesmen
175,Ithaca,Bombers
183,Syracuse,Orange
184,Rochester,Yellow Jackets
188,Baldwin-Wallace,Yellow Jackets
190,Defiance,Yellow Jackets
191,Heidelberg,Student Princes
193,Miami (OH),RedHawks
194,Ohio State,Buckeyes
195,Ohio,Bobcats
196,Northeastern State,RiverHawks
197,Oklahoma State,Cowboys
199,Southeastern Oklahoma,Savage Storm
2219,Faulkner,Eagles
121,Bates College,Bobcats
200,Southern Nazarene,Crimson Storm
201,Oklahoma,Sooners
202,Tulsa,Golden Hurricane
203,Linfield,Wildcats
204,Oregon State,Beavers
205,Pacific (OR),Boxers
